ano,delito5,nacionalidad,valor
2011,6.1.-trafico de drogas,espanoles,15465
2011,6.1.-trafico de drogas,extranjeros,8145
2011,6.1.-trafico de drogas,total,23610
2011,6.2.-contra la seguridad vial,espanoles,40622
2011,6.2.-contra la seguridad vial,extranjeros,11838
2011,6.2.-contra la seguridad vial,total,52460
2011,6.3.-otros contra la seguridad colectiva,espanoles,1563
2011,6.3.-otros contra la seguridad colectiva,extranjeros,525
2011,6.3.-otros contra la seguridad colectiva,total,2088
2011,7. falsedades,espanoles,4929
2011,7. falsedades,extranjeros,6318
2011,7. falsedades,total,11247
2011,8. admon. publica,espanoles,386
2011,8. admon. publica,extranjeros,43
2011,8. admon. publica,total,429
2011,9. admon. justicia,espanoles,16770
2011,9. admon. justicia,extranjeros,5268
2011,9. admon. justicia,total,22038
2011,total infracciones penales,espanoles,332754
2011,total infracciones penales,extranjeros,135499
2011,total infracciones penales,total,468253
2012,1. contra las personas,espanoles,71458
2012,1. contra las personas,extranjeros,25836
2012,1. contra las personas,total,97294
2012,1.1.-homicidios dolosos/asesinatos,espanoles,999
2012,1.1.-homicidios dolosos/asesinatos,extranjeros,326
2012,1.1.-homicidios dolosos/asesinatos,total,1325
2012,1.1.1.-homicidios dolosos/asesinatos consumados,espanoles,268
2012,1.1.1.-homicidios dolosos/asesinatos consumados,extranjeros,140
2012,1.1.1.-homicidios dolosos/asesinatos consumados,total,408
2012,1.2.-lesiones,espanoles,22275
2012,1.2.-lesiones,extranjeros,7667
2012,1.2.-lesiones,total,29942
2012,1.3.-malos tratos ambito familiar,espanoles,34653
2012,1.3.-malos tratos ambito familiar,extranjeros,15177
2012,1.3.-malos tratos ambito familiar,total,49830
2012,1.4.-otros contra las personas,espanoles,13531
2012,1.4.-otros contra las personas,extranjeros,2666
2012,1.4.-otros contra las personas,total,16197
2012,10. orden publico,espanoles,18376
2012,10. orden publico,extranjeros,8399
2012,10. orden publico,total,26775
2012,11. legislacion especial,espanoles,159
2012,11. legislacion especial,extranjeros,69
2012,11. legislacion especial,total,228
2012,12. otras infracciones penales,espanoles,2259
2012,12. otras infracciones penales,extranjeros,1625
2012,12. otras infracciones penales,total,3884
2012,2. contra la libertad,espanoles,21817
2012,2. contra la libertad,extranjeros,6126
2012,2. contra la libertad,total,27943
2012,2.1.-malos tratos habituales en el ambito familiar,espanoles,8873
2012,2.1.-malos tratos habituales en el ambito familiar,extranjeros,2748
2012,2.1.-malos tratos habituales en el ambito familiar,total,11621
2012,2.2.-otros contra la libertad,espanoles,12944
2012,2.2.-otros contra la libertad,extranjeros,3378
2012,2.2.-otros contra la libertad,total,16322
2012,3. libertad sexual,espanoles,4255
2012,3. libertad sexual,extranjeros,1995
2012,3. libertad sexual,total,6250
2012,3.1.-agresion sexual,espanoles,2224
2012,3.1.-agresion sexual,extranjeros,978
2012,3.1.-agresion sexual,total,3202
2012,3.2.-agresion sexual con penetracion,espanoles,755
2012,3.2.-agresion sexual con penetracion,extranjeros,447
2012,3.2.-agresion sexual con penetracion,total,1202
2012,3.3.-corrupcion de menores o incapacitados,espanoles,147
2012,3.3.-corrupcion de menores o incapacitados,extranjeros,54
2012,3.3.-corrupcion de menores o incapacitados,total,201
2012,3.4.-pornografia de menores,espanoles,468
2012,3.4.-pornografia de menores,extranjeros,38
2012,3.4.-pornografia de menores,total,506
2012,3.5.-otros contra la libertad sexual,espanoles,661
2012,3.5.-otros contra la libertad sexual,extranjeros,478
2012,3.5.-otros contra la libertad sexual,total,1139
2012,4. relaciones familiares,espanoles,2327
2012,4. relaciones familiares,extranjeros,599
2012,4. relaciones familiares,total,2926
2012,5. patrimonio,espanoles,136110
2012,5. patrimonio,extranjeros,53767
2012,5. patrimonio,total,189877
2012,5.1.-hurtos,espanoles,45988
2012,5.1.-hurtos,extranjeros,22246
2012,5.1.-hurtos,total,68234
2012,5.2.-robos con fuerza en las cosas,espanoles,42676
2012,5.2.-robos con fuerza en las cosas,extranjeros,12797
2012,5.2.-robos con fuerza en las cosas,total,55473
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,espanoles,7995
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,extranjeros,2096
2012,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,10091
2012,5.2.2.-robos con fuerza en viviendas,espanoles,10225
2012,5.2.2.-robos con fuerza en viviendas,extranjeros,4269
2012,5.2.2.-robos con fuerza en viviendas,total,14494
2012,5.2.3.-robos con fuerza en establecimientos,espanoles,7000
2012,5.2.3.-robos con fuerza en establecimientos,extranjeros,2653
2012,5.2.3.-robos con fuerza en establecimientos,total,9653
2012,5.3.-robos con violencia o intimidacion,espanoles,16417
2012,5.3.-robos con violencia o intimidacion,extranjeros,7058
2012,5.3.-robos con violencia o intimidacion,total,23475
2012,5.3.1.-robos con violencia en via publica,espanoles,6555
2012,5.3.1.-robos con violencia en via publica,extranjeros,4680
2012,5.3.1.-robos con violencia en via publica,total,11235
2012,5.3.2.-robos con violencia en viviendas,espanoles,1082
2012,5.3.2.-robos con violencia en viviendas,extranjeros,604
2012,5.3.2.-robos con violencia en viviendas,total,1686
2012,5.3.3.-robos con violencia en establecimientos,espanoles,2519
2012,5.3.3.-robos con violencia en establecimientos,extranjeros,934
2012,5.3.3.-robos con violencia en establecimientos,total,3453
2012,5.4.-sustraccion de vehiculos,espanoles,5021
2012,5.4.-sustraccion de vehiculos,extranjeros,1787
2012,5.4.-sustraccion de vehiculos,total,6808
2012,5.5.-estafas,espanoles,9240
2012,5.5.-estafas,extranjeros,3308
2012,5.5.-estafas,total,12548
2012,5.5.1.-estafas informaticas,espanoles,1340
2012,5.5.1.-estafas informaticas,extranjeros,638
2012,5.5.1.-estafas informaticas,total,1978
2012,5.6.-danos,espanoles,7507
2012,5.6.-danos,extranjeros,2000
2012,5.6.-danos,total,9507
2012,5.7.-contra la propiedad intelectual/industrial,espanoles,665
2012,5.7.-contra la propiedad intelectual/industrial,extranjeros,1592
2012,5.7.-contra la propiedad intelectual/industrial,total,2257
2012,5.8.-blanqueo de capitales,espanoles,369
2012,5.8.-blanqueo de capitales,extranjeros,198
2012,5.8.-blanqueo de capitales,total,567
2012,5.9.-otros contra el patrimonio,espanoles,8227
2012,5.9.-otros contra el patrimonio,extranjeros,2781
2012,5.9.-otros contra el patrimonio,total,11008
2012,6. seguridad colectiva,espanoles,53777
2012,6. seguridad colectiva,extranjeros,19199
2012,6. seguridad colectiva,total,72976
2012,6.1.-trafico de drogas,espanoles,14754
2012,6.1.-trafico de drogas,extranjeros,7821
2012,6.1.-trafico de drogas,total,22575
2012,6.2.-contra la seguridad vial,espanoles,37371
2012,6.2.-contra la seguridad vial,extranjeros,10762
2012,6.2.-contra la seguridad vial,total,48133
2012,6.3.-otros contra la seguridad colectiva,espanoles,1652
2012,6.3.-otros contra la seguridad colectiva,extranjeros,616
2012,6.3.-otros contra la seguridad colectiva,total,2268
2012,7. falsedades,espanoles,4931
2012,7. falsedades,extranjeros,6693
2012,7. falsedades,total,11624
2012,8. admon. publica,espanoles,245
2012,8. admon. publica,extranjeros,29
2012,8. admon. publica,total,274
2012,9. admon. justicia,espanoles,16347
2012,9. admon. justicia,extranjeros,4644
2012,9. admon. justicia,total,20991
2012,total infracciones penales,espanoles,332061
2012,total infracciones penales,extranjeros,128981
2012,total infracciones penales,total,461042
2013,1. contra las personas,espanoles,69499
2013,1. contra las personas,extranjeros,23714
2013,1. contra las personas,total,93213
2013,1.1.-homicidios dolosos/asesinatos,espanoles,836
2013,1.1.-homicidios dolosos/asesinatos,extranjeros,250
2013,1.1.-homicidios dolosos/asesinatos,total,1086
2013,1.1.1.-homicidios dolosos/asesinatos consumados,espanoles,230
2013,1.1.1.-homicidios dolosos/asesinatos consumados,extranjeros,81
2013,1.1.1.-homicidios dolosos/asesinatos consumados,total,311
2013,1.2.-lesiones,espanoles,21419
2013,1.2.-lesiones,extranjeros,7155
2013,1.2.-lesiones,total,28574
2013,1.3.-malos tratos ambito familiar,espanoles,35033
2013,1.3.-malos tratos ambito familiar,extranjeros,14046
2013,1.3.-malos tratos ambito familiar,total,49079
2013,1.4.-otros contra las personas,espanoles,12211
2013,1.4.-otros contra las personas,extranjeros,2263
2013,1.4.-otros contra las personas,total,14474
2013,10. orden publico,espanoles,16935
2013,10. orden publico,extranjeros,8046
2013,10. orden publico,total,24981
2013,11. legislacion especial,espanoles,214
2013,11. legislacion especial,extranjeros,81
2013,11. legislacion especial,total,295
2013,12. otras infracciones penales,espanoles,2456
2013,12. otras infracciones penales,extranjeros,1557
2013,12. otras infracciones penales,total,4013
2013,2. contra la libertad,espanoles,21353
2013,2. contra la libertad,extranjeros,6091
2013,2. contra la libertad,total,27444
2013,2.1.-malos tratos habituales en el ambito familiar,espanoles,8531
2013,2.1.-malos tratos habituales en el ambito familiar,extranjeros,2653
2013,2.1.-malos tratos habituales en el ambito familiar,total,11184
2013,2.2.-otros contra la libertad,espanoles,12822
2013,2.2.-otros contra la libertad,extranjeros,3438
2013,2.2.-otros contra la libertad,total,16260
2013,3. libertad sexual,espanoles,3984
2013,3. libertad sexual,extranjeros,1843
2013,3. libertad sexual,total,5827
2013,3.1.-agresion sexual,espanoles,1976
2013,3.1.-agresion sexual,extranjeros,855
2013,3.1.-agresion sexual,total,2831
2013,3.2.-agresion sexual con penetracion,espanoles,741
2013,3.2.-agresion sexual con penetracion,extranjeros,438
2013,3.2.-agresion sexual con penetracion,total,1179
2013,3.3.-corrupcion de menores o incapacitados,espanoles,173
2013,3.3.-corrupcion de menores o incapacitados,extranjeros,48
2013,3.3.-corrupcion de menores o incapacitados,total,221
2013,3.4.-pornografia de menores,espanoles,357
2013,3.4.-pornografia de menores,extranjeros,34
2013,3.4.-pornografia de menores,total,391
2013,3.5.-otros contra la libertad sexual,espanoles,737
2013,3.5.-otros contra la libertad sexual,extranjeros,468
2013,3.5.-otros contra la libertad sexual,total,1205
2013,4. relaciones familiares,espanoles,2301
2013,4. relaciones familiares,extranjeros,516
2013,4. relaciones familiares,total,2817
2013,5. patrimonio,espanoles,141300
2013,5. patrimonio,extranjeros,54266
2013,5. patrimonio,total,195566
2013,5.1.-hurtos,espanoles,49819
2013,5.1.-hurtos,extranjeros,23045
2013,5.1.-hurtos,total,72864
2013,5.2.-robos con fuerza en las cosas,espanoles,43403
2013,5.2.-robos con fuerza en las cosas,extranjeros,12827
2013,5.2.-robos con fuerza en las cosas,total,56230
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,espanoles,7027
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,extranjeros,1897
2013,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,total,8924
2013,5.2.2.-robos con fuerza en viviendas,espanoles,11464
2013,5.2.2.-robos con fuerza en viviendas,extranjeros,4973
2013,5.2.2.-robos con fuerza en viviendas,total,16437
2013,5.2.3.-robos con fuerza en establecimientos,espanoles,7275
2013,5.2.3.-robos con fuerza en establecimientos,extranjeros,2326
2013,5.2.3.-robos con fuerza en establecimientos,total,9601
2013,5.3.-robos con violencia o intimidacion,espanoles,15759
2013,5.3.-robos con violencia o intimidacion,extranjeros,6393
2013,5.3.-robos con violencia o intimidacion,total,22152
2013,5.3.1.-robos con violencia en via publica,espanoles,6102
2013,5.3.1.-robos con violencia en via publica,extranjeros,4073
2013,5.3.1.-robos con violencia en via publica,total,10175
2013,5.3.2.-robos con violencia en viviendas,espanoles,1174
2013,5.3.2.-robos con violencia en viviendas,extranjeros,595
2013,5.3.2.-robos con violencia en viviendas,total,1769
2013,5.3.3.-robos con violencia en establecimientos,espanoles,2594
2013,5.3.3.-robos con violencia en establecimientos,extranjeros,970
2013,5.3.3.-robos con violencia en establecimientos,total,3564
2013,5.4.-sustraccion de vehiculos,espanoles,4759
2013,5.4.-sustraccion de vehiculos,extranjeros,1444
2013,5.4.-sustraccion de vehiculos,total,6203
2013,5.5.-estafas,espanoles,9298
2013,5.5.-estafas,extranjeros,3269
2013,5.5.-estafas,total,12567
2013,5.5.1.-estafas informaticas,espanoles,1353
2013,5.5.1.-estafas informaticas,extranjeros,587
2013,5.5.1.-estafas informaticas,total,1940
2013,5.6.-danos,espanoles,6976
2013,5.6.-danos,extranjeros,1836
2013,5.6.-danos,total,8812
2013,5.7.-contra la propiedad intelectual/industrial,espanoles,713
2013,5.7.-contra la propiedad intelectual/industrial,extranjeros,1882
2013,5.7.-contra la propiedad intelectual/industrial,total,2595
2013,5.8.-blanqueo de capitales,espanoles,420
2013,5.8.-blanqueo de capitales,extranjeros,177
2013,5.8.-blanqueo de capitales,total,597
2013,5.9.-otros contra el patrimonio,espanoles,10153
2013,5.9.-otros contra el patrimonio,extranjeros,3393
2013,5.9.-otros contra el patrimonio,total,13546
2013,6. seguridad colectiva,espanoles,51197
2013,6. seguridad colectiva,extranjeros,17574
2013,6. seguridad colectiva,total,68771
2013,6.1.-trafico de drogas,espanoles,14953
2013,6.1.-trafico de drogas,extranjeros,7359
2013,6.1.-trafico de drogas,total,22312
2013,6.2.-contra la seguridad vial,espanoles,34790
2013,6.2.-contra la seguridad vial,extranjeros,9835
2013,6.2.-contra la seguridad vial,total,44625
2013,6.3.-otros contra la seguridad colectiva,espanoles,1454
2013,6.3.-otros contra la seguridad colectiva,extranjeros,380
2013,6.3.-otros contra la seguridad colectiva,total,1834
2013,7. falsedades,espanoles,7691
2013,7. falsedades,extranjeros,6364
2013,7. falsedades,total,14055
2013,8. admon. publica,espanoles,352
2013,8. admon. publica,extranjeros,46
2013,8. admon. publica,total,398
2013,9. admon. justicia,espanoles,16411
2013,9. admon. justicia,extranjeros,4296
2013,9. admon. justicia,total,20707
2013,total infracciones penales,espanoles,333693
2013,total infracciones penales,extranjeros,124394
2013,total infracciones penales,total,458087
2014,1. contra las personas,espanoles,75548
2014,1. contra las personas,extranjeros,21611
2014,1. contra las personas,total,97159
2014,1.1.-homicidios dolosos/asesinatos,espanoles,908
2014,1.1.-homicidios dolosos/asesinatos,extranjeros,198
2014,1.1.-homicidios dolosos/asesinatos,total,1106
2014,1.1.1.-homicidios dolosos/asesinatos consumados,espanoles,231
2014,1.1.1.-homicidios dolosos/asesinatos consumados,extranjeros,74
2014,1.1.1.-homicidios dolosos/asesinatos consumados,total,305
2014,1.2.-lesiones,espanoles,22504
2014,1.2.-lesiones,extranjeros,6363
2014,1.2.-lesiones,total,28867
2014,1.3.-malos tratos ambito familiar,espanoles,37843
2014,1.3.-malos tratos ambito familiar,extranjeros,12801
2014,1.3.-malos tratos ambito familiar,total,50644
2014,1.4.-otros contra las personas,espanoles,14293
2014,1.4.-otros contra las personas,extranjeros,2249
2014,1.4.-otros contra las personas,total,16542
2014,10. orden publico,espanoles,15549
2014,10. orden publico,extranjeros,6808
2014,10. orden publico,total,22357
2014,11. legislacion especial,espanoles,200
2014,11. legislacion especial,extranjeros,55
2014,11. legislacion especial,total,255
2014,12. otras infracciones penales,espanoles,3342
2014,12. otras infracciones penales,extranjeros,1566
2014,12. otras infracciones penales,total,4908
2014,2. contra la libertad,espanoles,20715
2014,2. contra la libertad,extranjeros,5119
2014,2. contra la libertad,total,25834
2014,2.1.-malos tratos habituales en el ambito familiar,espanoles,8222
2014,2.1.-malos tratos habituales en el ambito familiar,extranjeros,2232
2014,2.1.-malos tratos habituales en el ambito familiar,total,10454
2014,2.2.-otros contra la libertad,espanoles,12493
2014,2.2.-otros contra la libertad,extranjeros,2887
2014,2.2.-otros contra la libertad,total,15380
2014,3. libertad sexual,espanoles,4502
2014,3. libertad sexual,extranjeros,1684
2014,3. libertad sexual,total,6186
2014,3.1.-agresion sexual,espanoles,2242
2014,3.1.-agresion sexual,extranjeros,818
