ano,tipo,suma_ccaa,total_raw,delta,rel,usar_raw
2015,2.2.-otros contra la libertad,62887,63139,252,0.00400718749503077,TRUE
2015,3. libertad sexual,9848,9869,21,0.00213241267262388,TRUE
2015,3.1.-agresion sexual,5328,5338,10,0.00187687687687687,TRUE
2015,3.2.-agresion sexual con penetracion,1665,1668,3,0.0018018018018018,TRUE
2015,3.3.-corrupcion de menores o incapacitados,431,432,1,0.00232018561484918,TRUE
2015,3.4.-pornografia de menores,745,748,3,0.00402684563758389,TRUE
2015,3.5.-otros contra la libertad sexual,1679,1683,4,0.00238237045860631,TRUE
2015,4. relaciones familiares,9711,9814,103,0.01060652867881783,FALSE
2015,5. patrimonio,1555536,1573983,18447,0.01185893479803746,FALSE
2015,5.1.-hurtos,712814,715469,2655,0.00372467431896679,TRUE
2015,5.2.-robos con fuerza en las cosas,322408,322705,297,9.21193022505645e-4,TRUE
2015,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,99843,100021,178,0.00178279899442124,TRUE
2015,5.2.2.-robos con fuerza en viviendas,115280,115302,22,1.9083969465648855e-4,TRUE
2015,5.2.3.-robos con fuerza en establecimientos,35946,35959,13,3.616535914983586e-4,TRUE
2015,5.3.-robos con violencia o intimidacion,64357,64581,224,0.00348058486256351,TRUE
2015,5.3.1.-robos con violencia en via publica,28798,28949,151,0.00524341968192235,FALSE
2015,5.3.2.-robos con violencia en viviendas,3928,3929,1,2.545824847250509e-4,TRUE
2015,5.3.3.-robos con violencia en establecimientos,5147,5168,21,0.00408004662910433,TRUE
2015,5.4.-sustraccion de vehiculos,43082,43170,88,0.00204261640592358,TRUE
2015,5.5.-estafas,150327,165300,14973,0.0996028657526592,FALSE
2015,5.5.1.-estafas informaticas,57722,62038,4316,0.07477218391601123,FALSE
2015,5.6.-danos,215489,215519,30,1.392182431585835e-4,TRUE
2015,5.7.-contra la propiedad intelectual/industrial,2039,2047,8,0.00392349190779794,TRUE
2015,5.8.-blanqueo de capitales,275,290,15,0.05454545454545454,TRUE
2015,5.9.-otros contra el patrimonio,44745,44902,157,0.00350877192982456,TRUE
2015,6. seguridad colectiva,60074,60090,16,2.6633818290774713e-4,TRUE
2015,6.1.-trafico de drogas,12053,12069,16,0.0013274703393346,TRUE
2015,6.2.-contra la seguridad vial,45991,45991,0,0,TRUE
2015,6.3.-otros contra la seguridad colectiva,2030,2030,0,0,TRUE
2015,7. falsedades,18749,19224,475,0.02533468451650754,FALSE
2015,8. admon. publica,534,535,1,0.00187265917602996,TRUE
2015,9. admon. justicia,27520,27538,18,6.540697674418605e-4,TRUE
2015,total infracciones penales,2017201,2036815,19614,0.00972337412087342,FALSE
2016,1. contra las personas,166297,166431,134,8.057872360896468e-4,TRUE
2016,1.1.-homicidios dolosos/asesinatos,1107,1107,0,0,TRUE
2016,1.1.1.-homicidios dolosos/asesinatos consumados,294,294,0,0,TRUE
2016,1.2.-lesiones,97089,97108,19,1.9569673186457787e-4,TRUE
2016,1.3.-malos tratos ambito familiar,65989,66102,113,0.00171240661322341,TRUE
2016,1.4.-otros contra las personas,2112,2114,2,9.46969696969697e-4,TRUE
2016,10. orden publico,18863,18867,4,2.120553464454223e-4,TRUE
2016,11. legislacion especial,143,143,0,0,TRUE
2016,12. otras infracciones penales,10383,10394,11,0.00105942405855725,TRUE
2016,2. contra la libertad,115091,115493,402,0.00349288823626521,TRUE
2016,2.1.-malos tratos habituales en el ambito familiar,14538,14554,16,0.00110056403907002,TRUE
