ano,tipo,total,total_row,delta,rel,usar_row
2015,5.2.-robos con fuerza en las cosas,44412,44417,-5,1.1256951167345836e-4,TRUE
2015,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,9753,9754,-1,1.025220422390814e-4,TRUE
2015,5.2.2.-robos con fuerza en viviendas,12995,12995,0,0,TRUE
2015,5.2.3.-robos con fuerza en establecimientos,7446,7448,-2,2.685284640171858e-4,TRUE
2015,5.3.-robos con violencia o intimidacion,16028,16028,0,0,TRUE
2015,5.3.1.-robos con violencia en via publica,6414,6414,0,0,TRUE
2015,5.3.2.-robos con violencia en viviendas,1195,1195,0,0,TRUE
2015,5.3.3.-robos con violencia en establecimientos,2500,2500,0,0,TRUE
2015,5.4.-sustraccion de vehiculos,11583,11660,-77,0.00660377358490566,TRUE
2015,5.5.-estafas,35662,36074,-412,0.01142096801020125,FALSE
2015,5.5.1.-estafas informaticas,10162,10344,-182,0.01759474091260634,FALSE
2015,5.6.-danos,26089,26091,-2,7.665478517496454e-5,TRUE
2015,5.7.-contra la propiedad intelectual/industrial,1863,1865,-2,0.00107238605898123,TRUE
2015,5.8.-blanqueo de capitales,261,273,-12,0.04395604395604396,TRUE
2015,5.9.-otros contra el patrimonio,25011,25036,-25,9.985620706183095e-4,TRUE
2015,6. seguridad colectiva,55490,55506,-16,2.882571253558174e-4,TRUE
2015,6.1.-trafico de drogas,11374,11390,-16,0.00140474100087796,TRUE
2015,6.2.-contra la seguridad vial,42718,42718,0,0,TRUE
2015,6.3.-otros contra la seguridad colectiva,1398,1398,0,0,TRUE
2015,7. falsedades,11060,11438,-378,0.03304773561811505,FALSE
2015,8. admon. publica,383,384,-1,0.00260416666666666,TRUE
2015,9. admon. justicia,25899,25917,-18,6.945248292626461e-4,TRUE
2015,total infracciones penales,658502,659787,-1285,0.00194759824003807,TRUE
2016,1. contra las personas,145098,145212,-114,7.850590860259483e-4,TRUE
2016,1.1.-homicidios dolosos/asesinatos,1019,1019,0,0,TRUE
2016,1.1.1.-homicidios dolosos/asesinatos consumados,210,210,0,0,TRUE
2016,1.2.-lesiones,77284,77292,-8,1.0350359674998706e-4,TRUE
2016,1.3.-malos tratos ambito familiar,65388,65493,-105,0.00160322477211305,TRUE
2016,1.4.-otros contra las personas,1407,1408,-1,7.102272727272727e-4,TRUE
2016,10. orden publico,17638,17642,-4,2.2673166307674868e-4,TRUE
2016,11. legislacion especial,131,131,0,0,TRUE
2016,12. otras infracciones penales,7431,7435,-4,5.379959650302623e-4,TRUE
2016,2. contra la libertad,89201,89305,-104,0.00116454845753317,TRUE
2016,2.1.-malos tratos habituales en el ambito familiar,11473,11489,-16,0.00139263643485072,TRUE
2016,2.2.-otros contra la libertad,77728,77816,-88,0.00113087282821013,TRUE
2016,3. libertad sexual,8367,8381,-14,0.00167044505428946,TRUE
2016,3.1.-agresion sexual,4797,4806,-9,0.00187265917602996,TRUE
2016,3.2.-agresion sexual con penetracion,1511,1514,-3,0.00198150594451783,TRUE
2016,3.3.-corrupcion de menores o incapacitados,292,292,0,0,TRUE
2016,3.4.-pornografia de menores,476,477,-1,0.0020964360587002,TRUE
2016,3.5.-otros contra la libertad sexual,1291,1292,-1,7.7399380804953e-4,TRUE
2016,4. relaciones familiares,7378,7465,-87,0.0116543871399866,TRUE
2016,5. patrimonio,272517,273027,-510,0.0018679471261084,TRUE
2016,5.1.-hurtos,109612,109627,-15,1.3682760633785472e-4,TRUE
2016,5.2.-robos con fuerza en las cosas,45504,45511,-7,1.5380896926017886e-4,TRUE
2016,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10574,10574,0,0,TRUE
2016,5.2.2.-robos con fuerza en viviendas,13715,13715,0,0,TRUE
2016,5.2.3.-robos con fuerza en establecimientos,7898,7900,-2,2.5316455696202533e-4,TRUE
2016,5.3.-robos con violencia o intimidacion,16355,16355,0,0,TRUE
2016,5.3.1.-robos con violencia en via publica,6737,6737,0,0,TRUE
2016,5.3.2.-robos con violencia en viviendas,1169,1169,0,0,TRUE
2016,5.3.3.-robos con violencia en establecimientos,2625,2625,0,0,TRUE
2016,5.4.-sustraccion de vehiculos,11795,11878,-83,0.00698770836841219,TRUE
2016,5.5.-estafas,37540,37910,-370,0.0097599577947771,FALSE
2016,5.5.1.-estafas informaticas,11302,11494,-192,0.01670436749608491,FALSE
2016,5.6.-danos,26195,26196,-1,3.817376698732631e-5,TRUE
2016,5.7.-contra la propiedad intelectual/industrial,1713,1713,0,0,TRUE
2016,5.8.-blanqueo de capitales,233,244,-11,0.04508196721311475,TRUE
2016,5.9.-otros contra el patrimonio,23570,23593,-23,9.748654261857332e-4,TRUE
2016,6. seguridad colectiva,53768,53781,-13,2.4172105390379503e-4,TRUE
2016,6.1.-trafico de drogas,11688,11700,-12,0.00102564102564102,TRUE
2016,6.2.-contra la seguridad vial,40693,40694,-1,2.45736472207205e-5,TRUE
2016,6.3.-otros contra la seguridad colectiva,1387,1387,0,0,TRUE
2016,7. falsedades,11980,12378,-398,0.03215382129584747,FALSE
2016,8. admon. publica,414,418,-4,0.00956937799043062,TRUE
2016,9. admon. justicia,26155,26178,-23,8.786003514401405e-4,TRUE
2016,total infracciones penales,640078,641353,-1275,0.00198798477593462,TRUE
2017,1. contra las personas,150244,150363,-119,7.914181015276365e-4,TRUE
2017,1.1.-homicidios dolosos/asesinatos,1028,1029,-1,9.718172983479104e-4,TRUE
2017,1.1.1.-homicidios dolosos/asesinatos consumados,235,236,-1,0.00423728813559322,TRUE
2017,1.2.-lesiones,78612,78624,-12,1.5262515262515265e-4,TRUE
2017,1.3.-malos tratos ambito familiar,68483,68589,-106,0.00154543731502135,TRUE
2017,1.4.-otros contra las personas,2121,2121,0,0,TRUE
2017,10. orden publico,18232,18235,-3,1.6451878256100905e-4,TRUE
2017,11. legislacion especial,152,152,0,0,TRUE
2017,12. otras infracciones penales,6935,6942,-7,0.00100835494093921,TRUE
2017,2. contra la libertad,92927,93015,-88,9.460839649518896e-4,TRUE
2017,2.1.-malos tratos habituales en el ambito familiar,11367,11379,-12,0.00105457421566042,TRUE
2017,2.2.-otros contra la libertad,81560,81636,-76,9.309618305649468e-4,TRUE
2017,3. libertad sexual,8867,8894,-27,0.00303575444119631,TRUE
2017,3.1.-agresion sexual,5026,5040,-14,0.00277777777777777,TRUE
2017,3.2.-agresion sexual con penetracion,1749,1760,-11,0.00625,TRUE
2017,3.3.-corrupcion de menores o incapacitados,333,333,0,0,TRUE
2017,3.4.-pornografia de menores,517,518,-1,0.00193050193050193,TRUE
2017,3.5.-otros contra la libertad sexual,1242,1243,-1,8.045052292839903e-4,TRUE
2017,4. relaciones familiares,7338,7401,-63,0.00851236319416295,TRUE
2017,5. patrimonio,273948,274547,-599,0.0021817757979508,TRUE
2017,5.1.-hurtos,109876,109895,-19,1.7289230629236998e-4,TRUE
2017,5.2.-robos con fuerza en las cosas,43523,43532,-9,2.0674446384269044e-4,TRUE
2017,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10238,10239,-1,9.76657876745776e-5,TRUE
