ano,region,tipo,valor,region_raw,tipo_raw
2011,NA,5.1.-hurtos,109396,TOTAL NACIONAL,5.1.-Hurtos
2010,NA,5.1.-hurtos,105448,TOTAL NACIONAL,5.1.-Hurtos
2023,NA,5.2.-robos con fuerza en las cosas,40050,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2022,NA,5.2.-robos con fuerza en las cosas,35668,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2021,NA,5.2.-robos con fuerza en las cosas,31201,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2020,NA,5.2.-robos con fuerza en las cosas,31282,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2019,NA,5.2.-robos con fuerza en las cosas,39704,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2018,NA,5.2.-robos con fuerza en las cosas,40365,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2017,NA,5.2.-robos con fuerza en las cosas,43532,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2016,NA,5.2.-robos con fuerza en las cosas,45511,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2015,NA,5.2.-robos con fuerza en las cosas,44417,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2014,NA,5.2.-robos con fuerza en las cosas,54622,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2013,NA,5.2.-robos con fuerza en las cosas,62150,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2012,NA,5.2.-robos con fuerza en las cosas,54572,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2011,NA,5.2.-robos con fuerza en las cosas,55755,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2010,NA,5.2.-robos con fuerza en las cosas,61805,TOTAL NACIONAL,5.2.-Robos con fuerza en las cosas
2023,NA,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10438,TOTAL NACIONAL,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos
