nacionalidad,sexo,grupo_raw,periodo
Total,Hombres,De 0 a 4 años,1 de octubre de 2019
Total,Hombres,De 0 a 4 años,1 de julio de 2019
Total,Hombres,De 0 a 4 años,1 de abril de 2019
Total,Hombres,De 0 a 4 años,1 de enero de 2019
Total,Hombres,De 0 a 4 años,1 de octubre de 2018
Total,Hombres,De 0 a 4 años,1 de julio de 2018
Total,Hombres,De 0 a 4 años,1 de abril de 2018
Total,Hombres,De 0 a 4 años,1 de enero de 2018
Total,Hombres,De 0 a 4 años,1 de octubre de 2017
Total,Hombres,De 0 a 4 años,1 de julio de 2017
Total,Hombres,De 0 a 4 años,1 de abril de 2017
Total,Hombres,De 0 a 4 años,1 de enero de 2017
Total,Hombres,De 0 a 4 años,1 de octubre de 2016
Total,Hombres,De 0 a 4 años,1 de julio de 2016
Total,Hombres,De 0 a 4 años,1 de abril de 2016
Total,Hombres,De 0 a 4 años,1 de enero de 2016
Total,Hombres,De 0 a 4 años,1 de octubre de 2015
Total,Hombres,De 0 a 4 años,1 de julio de 2015
Total,Hombres,De 0 a 4 años,1 de abril de 2015
Total,Hombres,De 0 a 4 años,1 de enero de 2015
Total,Hombres,De 0 a 4 años,1 de octubre de 2014
Total,Hombres,De 0 a 4 años,1 de julio de 2014
Total,Hombres,De 0 a 4 años,1 de abril de 2014
Total,Hombres,De 0 a 4 años,1 de enero de 2014
Total,Hombres,De 0 a 4 años,1 de octubre de 2013
Total,Hombres,De 0 a 4 años,1 de julio de 2013
Total,Hombres,De 0 a 4 años,1 de abril de 2013
Total,Hombres,De 0 a 4 años,1 de enero de 2013
Total,Hombres,De 0 a 4 años,1 de octubre de 2012
Total,Hombres,De 0 a 4 años,1 de julio de 2012
Total,Hombres,De 0 a 4 años,1 de abril de 2012
Total,Hombres,De 0 a 4 años,1 de enero de 2012
Total,Hombres,De 0 a 4 años,1 de octubre de 2011
Total,Hombres,De 0 a 4 años,1 de julio de 2011
Total,Hombres,De 0 a 4 años,1 de abril de 2011
Total,Hombres,De 0 a 4 años,1 de enero de 2011
Total,Hombres,De 0 a 4 años,1 de octubre de 2010
Total,Hombres,De 0 a 4 años,1 de julio de 2010
Total,Hombres,De 0 a 4 años,1 de abril de 2010
Total,Hombres,De 0 a 4 años,1 de enero de 2010
Total,Hombres,De 0 a 4 años,1 de octubre de 2009
Total,Hombres,De 0 a 4 años,1 de julio de 2009
Total,Hombres,De 0 a 4 años,1 de abril de 2009
Total,Hombres,De 0 a 4 años,1 de enero de 2009
Total,Hombres,De 0 a 4 años,1 de octubre de 2008
Total,Hombres,De 0 a 4 años,1 de julio de 2008
Total,Hombres,De 0 a 4 años,1 de abril de 2008
Total,Hombres,De 0 a 4 años,1 de enero de 2008
Total,Hombres,De 0 a 4 años,1 de octubre de 2007
Total,Hombres,De 0 a 4 años,1 de julio de 2007
Total,Hombres,De 0 a 4 años,1 de abril de 2007
Total,Hombres,De 0 a 4 años,1 de enero de 2007
Total,Hombres,De 0 a 4 años,1 de octubre de 2006
Total,Hombres,De 0 a 4 años,1 de julio de 2006
Total,Hombres,De 0 a 4 años,1 de abril de 2006
Total,Hombres,De 0 a 4 años,1 de enero de 2006
Total,Hombres,De 0 a 4 años,1 de octubre de 2005
