ano,tipo,he,total_hc,delta,flag
2017,2. contra la libertad,92927,119031,-26104,TRUE
2017,2.1.-malos tratos habituales en el ambito familiar,11367,14238,-2871,TRUE
2017,2.2.-otros contra la libertad,81560,104793,-23233,TRUE
2017,3. libertad sexual,8867,11692,-2825,TRUE
2017,3.1.-agresion sexual,5026,6580,-1554,TRUE
2017,3.2.-agresion sexual con penetracion,1749,2136,-387,TRUE
2017,3.3.-corrupcion de menores o incapacitados,333,400,-67,TRUE
2017,3.4.-pornografia de menores,517,767,-250,TRUE
2017,3.5.-otros contra la libertad sexual,1242,1809,-567,TRUE
2017,4. relaciones familiares,7338,7915,-577,TRUE
2017,5. patrimonio,273948,1573632,-1299684,TRUE
2017,5.1.-hurtos,109876,712398,-602522,TRUE
2017,5.2.-robos con fuerza en las cosas,43523,301734,-258211,TRUE
2017,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,10238,102988,-92750,TRUE
2017,5.2.2.-robos con fuerza en viviendas,13029,105095,-92066,TRUE
2017,5.2.3.-robos con fuerza en establecimientos,7787,35059,-27272,TRUE
2017,5.3.-robos con violencia o intimidacion,16047,61763,-45716,TRUE
2017,5.3.1.-robos con violencia en via publica,6461,27379,-20918,TRUE
2017,5.3.2.-robos con violencia en viviendas,1119,3389,-2270,TRUE
2017,5.3.3.-robos con violencia en establecimientos,2901,5383,-2482,TRUE
2017,5.4.-sustraccion de vehiculos,11825,42519,-30694,TRUE
2017,5.5.-estafas,38826,198281,-159455,TRUE
2017,5.5.1.-estafas informaticas,12688,88690,-76002,TRUE
2017,5.6.-danos,27280,214246,-186966,TRUE
2017,5.7.-contra la propiedad intelectual/industrial,1446,1622,-176,TRUE
2017,5.8.-blanqueo de capitales,232,260,-28,TRUE
2017,5.9.-otros contra el patrimonio,24893,44763,-19870,TRUE
2017,6. seguridad colectiva,54609,59162,-4553,TRUE
2017,6.1.-trafico de drogas,12116,12958,-842,TRUE
2017,6.2.-contra la seguridad vial,40882,43942,-3060,TRUE
2017,6.3.-otros contra la seguridad colectiva,1611,2262,-651,TRUE
2017,7. falsedades,12211,20009,-7798,TRUE
2017,8. admon. publica,531,668,-137,TRUE
2017,9. admon. justicia,27329,29001,-1672,TRUE
2017,total infracciones penales,653323,NA,NA,TRUE
2018,1. contra las personas,153398,177165,-23767,TRUE
2018,1.1.-homicidios dolosos/asesinatos,1007,1088,-81,TRUE
2018,1.1.1.-homicidios dolosos/asesinatos consumados,226,289,-63,TRUE
2018,1.2.-lesiones,78206,99928,-21722,TRUE
2018,1.3.-malos tratos ambito familiar,71297,72309,-1012,TRUE
2018,1.4.-otros contra las personas,2888,3840,-952,TRUE
2018,10. orden publico,18779,20121,-1342,TRUE
2018,11. legislacion especial,193,209,-16,TRUE
2018,12. otras infracciones penales,6766,9725,-2959,TRUE
2018,2. contra la libertad,92904,120919,-28015,TRUE
2018,2.1.-malos tratos habituales en el ambito familiar,11337,14196,-2859,TRUE
2018,2.2.-otros contra la libertad,81567,106723,-25156,TRUE
2018,3. libertad sexual,10649,13782,-3133,TRUE
2018,3.1.-agresion sexual,6211,7983,-1772,TRUE
