ano,delito5,total,extranjeros,espanoles
2018,2. contra la libertad,38927,7161,31766
2018,2.1.-malos tratos habituales en el ambito familiar,9078,2094,6984
2018,2.2.-otros contra la libertad,29849,5067,24782
2018,3. libertad sexual,8288,2230,6058
2018,3.1.-agresion sexual,4642,1320,3322
2018,3.2.-agresion sexual con penetracion,1829,516,1313
2018,3.3.-corrupcion de menores o incapacitados,185,26,159
2018,3.4.-pornografia de menores,677,79,598
2018,3.5.-otros contra la libertad sexual,955,289,666
2018,4. relaciones familiares,1687,395,1292
2018,5. patrimonio,143192,36349,106843
2018,5.1.-hurtos,59652,17963,41689
2018,5.2.-robos con fuerza en las cosas,30314,5727,24587
2018,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5534,1037,4497
2018,5.2.2.-robos con fuerza en viviendas,8662,2536,6126
2018,5.2.3.-robos con fuerza en establecimientos,5798,1041,4757
2018,5.3.-robos con violencia o intimidacion,15491,4019,11472
2018,5.3.1.-robos con violencia en via publica,6395,2482,3913
2018,5.3.2.-robos con violencia en viviendas,1178,321,857
2018,5.3.3.-robos con violencia en establecimientos,2890,728,2162
2018,5.4.-sustraccion de vehiculos,3424,697,2727
2018,5.5.-estafas,12521,2574,9947
2018,5.5.1.-estafas informaticas,2528,559,1969
2018,5.6.-danos,8013,1472,6541
2018,5.7.-contra la propiedad intelectual/industrial,2273,1327,946
2018,5.8.-blanqueo de capitales,701,123,578
2018,5.9.-otros contra el patrimonio,10803,2447,8356
2018,6. seguridad colectiva,57327,13419,43908
2018,6.1.-trafico de drogas,20350,5431,14919
2018,6.2.-contra la seguridad vial,34894,7496,27398
2018,6.3.-otros contra la seguridad colectiva,2083,492,1591
2018,7. falsedades,11014,6577,4437
2018,8. admon. publica,693,77,616
2018,9. admon. justicia,20045,3909,16136
2018,total infracciones penales,394824,99499,295325
2019,1. contra las personas,95194,25183,70011
2019,1.1.-homicidios dolosos/asesinatos,1256,287,969
2019,1.1.1.-homicidios dolosos/asesinatos consumados,363,99,264
2019,1.2.-lesiones,33570,7991,25579
2019,1.3.-malos tratos ambito familiar,58600,16416,42184
2019,1.4.-otros contra las personas,1768,489,1279
2019,10. orden publico,19712,5850,13862
2019,11. legislacion especial,559,118,441
2019,12. otras infracciones penales,6176,1475,4701
2019,2. contra la libertad,40383,8019,32364
2019,2.1.-malos tratos habituales en el ambito familiar,9488,2396,7092
2019,2.2.-otros contra la libertad,30895,5623,25272
2019,3. libertad sexual,8983,2477,6506
2019,3.1.-agresion sexual,5151,1509,3642
2019,3.2.-agresion sexual con penetracion,1958,557,1401
2019,3.3.-corrupcion de menores o incapacitados,191,21,170
2019,3.4.-pornografia de menores,615,78,537
2019,3.5.-otros contra la libertad sexual,1068,312,756
2019,4. relaciones familiares,1549,336,1213
2019,5. patrimonio,144958,38284,106674
2019,5.1.-hurtos,58955,18080,40875
2019,5.2.-robos con fuerza en las cosas,29401,5978,23423
2019,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5402,1074,4328
2019,5.2.2.-robos con fuerza en viviendas,8049,2475,5574
2019,5.2.3.-robos con fuerza en establecimientos,6070,1309,4761
2019,5.3.-robos con violencia o intimidacion,18253,5047,13206
2019,5.3.1.-robos con violencia en via publica,7725,3264,4461
2019,5.3.2.-robos con violencia en viviendas,1153,321,832
2019,5.3.3.-robos con violencia en establecimientos,3037,760,2277
2019,5.4.-sustraccion de vehiculos,3399,758,2641
2019,5.5.-estafas,13478,2973,10505
2019,5.5.1.-estafas informaticas,3792,914,2878
2019,5.6.-danos,8298,1643,6655
2019,5.7.-contra la propiedad intelectual/industrial,1795,1096,699
2019,5.8.-blanqueo de capitales,602,130,472
2019,5.9.-otros contra el patrimonio,10777,2579,8198
2019,6. seguridad colectiva,61239,14427,46812
2019,6.1.-trafico de drogas,22888,6031,16857
2019,6.2.-contra la seguridad vial,36861,8105,28756
