window,var,mode,test,n_obs,stat,cv_1pct,cv_5pct,cv_10pct,reject_1pct,reject_5pct,reject_10pct,za_break_index,za_break_year
sin_covid_2010_2023,tasa_hc_por_100k,diff,"PP(Z-tau,const,long)",11,0.0354128431777353,-4.325900000000001,-3.2195,-2.7557,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,"PP(Z-tau,trend,long)",11,-2.283277676794808,-5.2735,-3.9948,-3.4455,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,KPSS(mu: level),11,0.3949412098903264,0.739,0.463,0.347,FALSE,FALSE,TRUE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,KPSS(tau: trend),11,0.1281593870189779,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,"ERS(DF-GLS,const)",11,-1.106410808866546,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_hc_por_100k,diff,"ERS(DF-GLS,trend)",11,-1.5609625825997586,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,"ADF(drift,lag<=1,tau2)",12,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,"ADF(trend,lag<=1,tau3)",12,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,"PP(Z-tau,const,long)",12,-0.5898172839015431,-4.220599173553719,-3.1800999999999995,-2.7348520661157023,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,"PP(Z-tau,trend,long)",12,1.5346026832819986,-5.115229752066115,-3.927137190082645,-3.4103628099173555,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,KPSS(mu: level),12,0.13868599796231235,0.739,0.463,0.347,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,KPSS(tau: trend),12,0.13369142715341897,0.216,0.146,0.119,FALSE,FALSE,TRUE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,"ERS(DF-GLS,const)",12,-1.492670120563054,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,"ERS(DF-GLS,trend)",12,-1.5516260012088552,NA,NA,NA,NA,NA,NA,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,level,ZA(break:both),12,-3.3213816030939234,NA,NA,NA,NA,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,"ADF(drift,lag<=1,tau2)",11,NA,-3.75,-3,-2.63,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,"ADF(trend,lag<=1,tau3)",11,NA,-4.38,-3.6,-3.24,FALSE,FALSE,FALSE,NA,NA
sin_covid_2010_2023,tasa_he_por_100k,diff,"PP(Z-tau,const,long)",11,-0.45888531065929616,-4.325900000000001,-3.2195,-2.7557,FALSE,FALSE,FALSE,NA,NA
