Comunidades autónomas;Tipología penal;Sexo;periodo;Total
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2019;80
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2018;127
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2017;122
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2016;121
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2015;147
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2014;116
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2013;167
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2012;146
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2011;110
CIUDAD AUTÓNOMA DE CEUTA;5.1.-Hurtos;Ambos sexos;2010;101
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2023;8
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2022;8
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2021;11
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2020;40
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2019;42
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2018;35
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2017;35
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2016;29
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2015;58
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2014;71
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2013;85
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2012;95
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2011;58
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Masculino;2010;60
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2023;6
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2022;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2021;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2019;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2018;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2017;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2016;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2014;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2013;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2012;3
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2011;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Femenino;2010;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2023;14
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2022;8
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2021;11
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2020;40
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2019;42
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2018;35
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2017;37
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2016;29
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2015;58
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2014;72
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2013;86
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2012;98
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2011;58
CIUDAD AUTÓNOMA DE CEUTA;5.2.-Robos con fuerza en las cosas;Ambos sexos;2010;61
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2023;6
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2022;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2021;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2020;5
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2019;29
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2018;15
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2017;13
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2016;19
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2015;47
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2014;48
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2013;32
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2012;48
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2011;33
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Masculino;2010;32
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2023;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2022;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2021;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2019;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2018;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2017;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2016;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2014;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2013;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2012;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2011;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Femenino;2010;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2023;6
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2022;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2021;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2020;5
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2019;29
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2018;15
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2017;14
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2016;19
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2015;47
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2014;48
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2013;32
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2012;48
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2011;33
CIUDAD AUTÓNOMA DE CEUTA;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;Ambos sexos;2010;33
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2023;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2022;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2021;3
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2020;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2019;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2018;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2017;5
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2016;6
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2015;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2014;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2013;5
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2012;9
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2011;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Masculino;2010;13
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2023;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2022;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2021;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2019;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2018;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2017;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2016;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2014;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2013;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2012;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2011;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Femenino;2010;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2023;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2022;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2021;3
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2020;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2019;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2018;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2017;6
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2016;6
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2015;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2014;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2013;6
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2012;9
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2011;4
CIUDAD AUTÓNOMA DE CEUTA;5.2.2.-Robos con fuerza en viviendas;Ambos sexos;2010;13
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2023;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2022;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2021;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2019;3
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2018;3
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2017;10
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2016;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2014;7
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2013;35
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2012;14
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2011;12
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Masculino;2010;8
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2023;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2022;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2021;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2019;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2018;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2017;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2016;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2014;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2013;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2012;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2011;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Femenino;2010;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2023;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2022;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2021;1
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2019;3
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2018;3
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2017;10
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2016;2
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2014;8
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2013;35
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2012;15
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2011;12
CIUDAD AUTÓNOMA DE CEUTA;5.2.3.-Robos con fuerza en establecimientos;Ambos sexos;2010;8
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2023;25
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2022;24
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2021;62
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2020;59
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2019;45
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2018;35
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2017;32
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2016;28
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2015;26
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2014;38
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2013;57
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2012;55
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2011;38
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Masculino;2010;40
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2023;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2022;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2021;1
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2019;1
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2018;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2017;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2016;3
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2014;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2013;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2012;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2011;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Femenino;2010;1
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2023;25
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2022;26
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2021;63
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2020;59
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2019;46
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2018;37
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2017;34
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2016;31
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2015;26
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2014;38
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2013;59
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2012;57
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2011;40
CIUDAD AUTÓNOMA DE CEUTA;5.3.-Robos con violencia o intimidación;Ambos sexos;2010;41
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2023;19
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2022;20
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2021;40
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2020;42
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2019;28
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2018;27
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2017;23
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2016;13
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2015;17
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2014;27
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2013;46
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2012;43
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2011;29
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Masculino;2010;28
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2023;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2022;1
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2021;1
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2020;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2019;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2018;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2017;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2016;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2015;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2014;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2013;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2012;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2011;2
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Femenino;2010;0
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2023;19
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2022;21
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2021;41
CIUDAD AUTÓNOMA DE CEUTA;5.3.1.-Robos con violencia en vía pública;Ambos sexos;2020;42
