Comunidades autónomas;Tipología penal;Sexo;periodo;Total
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2021;125
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2020;90
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2019;65
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2018;74
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2017;51
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2016;27
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2015;305
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2014;593
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2013;589
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2012;673
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2011;670
TOTAL NACIONAL;1.4.-Otros contra las personas;Femenino;2010;103
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2023;1.304
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2022;974
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2021;872
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2020;668
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2019;489
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2018;449
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2017;418
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2016;364
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2015;1.312
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2014;2.249
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2013;2.263
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2012;2.666
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2011;2.982
TOTAL NACIONAL;1.4.-Otros contra las personas;Ambos sexos;2010;937
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2023;13.082
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2022;11.242
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2021;10.240
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2020;8.958
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2019;6.779
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2018;5.964
TOTAL NACIONAL;2. CONTRA LA LIBERTAD;Masculino;2017;5.587
