Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2022;1.204
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2021;1.332
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2020;1.295
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2019;1.153
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2018;1.178
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2017;1.161
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2016;1.207
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2015;1.203
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2014;1.490
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2013;1.769
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2012;1.686
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2011;1.457
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2010;1.280
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2023;4.884
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2022;4.073
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2021;3.292
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2020;3.160
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2019;3.037
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2018;2.890
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2017;2.757
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2016;2.619
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2015;2.522
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2014;3.020
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2013;3.564
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2012;3.453
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2011;3.339
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2010;3.368
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2023;3.948
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2022;3.612
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2021;3.159
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2020;3.309
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2019;3.399
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2018;3.424
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2017;4.410
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2016;4.825
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2015;4.920
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2014;5.392
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2013;6.203
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2012;6.808
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2011;7.601
