Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;5. PATRIMONIO;2015;1.573.983
TOTAL NACIONAL;5. PATRIMONIO;2014;1.595.984
TOTAL NACIONAL;5. PATRIMONIO;2013;1.679.585
TOTAL NACIONAL;5. PATRIMONIO;2012;1.754.632
TOTAL NACIONAL;5. PATRIMONIO;2011;1.742.631
TOTAL NACIONAL;5. PATRIMONIO;2010;1.779.019
TOTAL NACIONAL;5.1.-Hurtos;2023;665.622
TOTAL NACIONAL;5.1.-Hurtos;2022;642.276
TOTAL NACIONAL;5.1.-Hurtos;2021;493.479
TOTAL NACIONAL;5.1.-Hurtos;2020;420.950
TOTAL NACIONAL;5.1.-Hurtos;2019;700.453
TOTAL NACIONAL;5.1.-Hurtos;2018;706.072
TOTAL NACIONAL;5.1.-Hurtos;2017;712.398
TOTAL NACIONAL;5.1.-Hurtos;2016;711.507
TOTAL NACIONAL;5.1.-Hurtos;2015;715.469
TOTAL NACIONAL;5.1.-Hurtos;2014;727.800
TOTAL NACIONAL;5.1.-Hurtos;2013;770.296
TOTAL NACIONAL;5.1.-Hurtos;2012;790.281
TOTAL NACIONAL;5.1.-Hurtos;2011;786.704
TOTAL NACIONAL;5.1.-Hurtos;2010;785.635
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2023;272.638
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2022;265.901
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2021;229.137
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2020;219.091
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2019;298.098
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2018;302.043
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2017;301.734
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2016;318.164
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2015;322.705
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2014;344.875
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2013;381.777
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2012;405.939
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2011;414.961
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2010;443.772
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;104.988
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;101.084
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;87.774
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;54.633
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;108.637
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;102.474
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;102.988
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;104.274
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;100.021
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;106.174
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;123.355
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;139.483
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;153.259
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;141.674
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2023;84.721
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2022;86.515
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2021;75.501
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2020;72.380
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2019;98.326
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2018;107.166
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2017;105.095
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2016;113.299
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2015;115.302
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2014;120.783
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2013;127.444
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2012;126.425
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2011;100.780
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2010;111.656
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2023;35.072
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2022;31.552
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2021;27.198
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2020;31.237
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2019;32.363
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2018;33.129
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2017;35.059
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2016;37.619
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2015;35.959
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2014;37.962
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2013;39.940
