Comunidades autónomas;Tipología penal;periodo;Total
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2012;9.157
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2011;7.977
TOTAL NACIONAL;4. RELACIONES FAMILIARES;2010;7.057
TOTAL NACIONAL;5. PATRIMONIO;2023;343.285
TOTAL NACIONAL;5. PATRIMONIO;2022;305.922
TOTAL NACIONAL;5. PATRIMONIO;2021;260.085
TOTAL NACIONAL;5. PATRIMONIO;2020;233.211
TOTAL NACIONAL;5. PATRIMONIO;2019;291.270
TOTAL NACIONAL;5. PATRIMONIO;2018;281.008
TOTAL NACIONAL;5. PATRIMONIO;2017;274.547
TOTAL NACIONAL;5. PATRIMONIO;2016;273.027
TOTAL NACIONAL;5. PATRIMONIO;2015;273.069
TOTAL NACIONAL;5. PATRIMONIO;2014;298.162
TOTAL NACIONAL;5. PATRIMONIO;2013;314.507
TOTAL NACIONAL;5. PATRIMONIO;2012;293.922
TOTAL NACIONAL;5. PATRIMONIO;2011;282.680
TOTAL NACIONAL;5. PATRIMONIO;2010;286.627
TOTAL NACIONAL;5.1.-Hurtos;2023;132.759
TOTAL NACIONAL;5.1.-Hurtos;2022;113.226
TOTAL NACIONAL;5.1.-Hurtos;2021;89.799
TOTAL NACIONAL;5.1.-Hurtos;2020;77.262
TOTAL NACIONAL;5.1.-Hurtos;2019;111.318
TOTAL NACIONAL;5.1.-Hurtos;2018;109.908
TOTAL NACIONAL;5.1.-Hurtos;2017;109.895
TOTAL NACIONAL;5.1.-Hurtos;2016;109.627
TOTAL NACIONAL;5.1.-Hurtos;2015;111.625
TOTAL NACIONAL;5.1.-Hurtos;2014;120.763
TOTAL NACIONAL;5.1.-Hurtos;2013;126.519
TOTAL NACIONAL;5.1.-Hurtos;2012;117.459
TOTAL NACIONAL;5.1.-Hurtos;2011;109.396
TOTAL NACIONAL;5.1.-Hurtos;2010;105.448
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2023;40.050
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2022;35.668
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2021;31.201
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2020;31.282
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2019;39.704
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2018;40.365
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2017;43.532
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2016;45.511
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2015;44.417
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2014;54.622
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2013;62.150
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2012;54.572
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2011;55.755
TOTAL NACIONAL;5.2.-Robos con fuerza en las cosas;2010;61.805
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;10.438
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;9.060
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;7.742
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;6.103
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;8.567
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;8.272
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;10.239
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;10.574
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;9.754
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;11.754
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;13.496
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;13.354
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;14.786
TOTAL NACIONAL;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;14.007
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2023;11.762
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2022;10.927
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2021;10.004
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2020;10.753
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2019;10.775
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2018;12.028
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2017;13.030
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2016;13.715
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2015;12.995
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2014;16.754
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2013;18.416
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2012;13.643
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2011;10.737
TOTAL NACIONAL;5.2.2.-Robos con fuerza en viviendas;2010;12.948
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2023;9.411
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2022;8.086
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2021;7.145
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2020;7.570
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2019;7.461
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2018;7.005
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2017;7.789
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2016;7.900
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2015;7.448
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2014;8.235
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2013;9.040
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2012;8.198
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2011;8.548
TOTAL NACIONAL;5.2.3.-Robos con fuerza en establecimientos;2010;9.832
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2023;21.381
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2022;19.040
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2021;16.037
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2020;14.569
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2019;18.196
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2018;16.043
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2017;16.049
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2016;16.355
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2015;16.028
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2014;18.383
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2013;22.064
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2012;21.820
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2011;21.146
TOTAL NACIONAL;5.3.-Robos con violencia o intimidación;2010;21.666
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2023;12.405
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2022;10.911
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2021;8.999
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2020;7.998
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2019;6.927
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2018;5.996
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2017;6.463
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2016;6.737
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2015;6.414
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2014;7.558
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2013;8.937
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2012;9.278
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2011;8.516
TOTAL NACIONAL;5.3.1.-Robos con violencia en vía pública;2010;9.330
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2023;1.646
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2022;1.492
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2021;1.479
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2020;1.351
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2019;1.181
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2018;1.154
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2017;1.119
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2016;1.169
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2015;1.195
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2014;1.334
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2013;1.641
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2012;1.420
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2011;1.205
TOTAL NACIONAL;5.3.2.-Robos con violencia en viviendas;2010;1.211
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2023;5.101
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2022;4.508
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2021;3.644
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2020;3.558
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2019;3.129
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2018;2.954
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2017;2.901
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2016;2.625
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2015;2.500
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2014;2.791
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2013;3.245
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2012;2.965
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2011;2.898
TOTAL NACIONAL;5.3.3.-Robos con violencia en establecimientos;2010;3.474
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2023;10.854
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2022;9.325
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2021;7.893
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2020;8.159
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2019;10.981
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2018;10.988
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2017;11.909
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2016;11.878
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2015;11.660
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2014;11.690
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2013;13.105
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2012;13.875
TOTAL NACIONAL;5.4.-Sustracción de vehículos;2011;15.519
