"ts","kind","script","caller","path","rows","cols"
"2025-09-22 10:09:11","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_detenciones_extranjeros_tipologia.csv",5,1,NA
"2025-09-22 10:09:11","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_detenciones_extranjeros_tipologia.csv",4,3,NA
"2025-09-22 10:09:11","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/detenciones_tipologia.csv",12320,4,"sep=;;enc=UTF-8"
"2025-09-22 10:09:11","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_detenciones_tipologia.csv",4,1,NA
"2025-09-22 10:09:12","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_detenciones_tipologia.csv",3,3,NA
"2025-09-22 10:09:12","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/epa_activos_16_29_trimestral.csv",168,5,"sep=;;enc=UTF-8"
"2025-09-22 10:09:12","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_epa_activos_16_29_trimestral.csv",5,1,NA
"2025-09-22 10:09:12","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_epa_activos_16_29_trimestral.csv",5,3,NA
"2025-09-22 10:09:13","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/estat_nama_10_pc_filtered_en.csv",14190,19,"sep=,;enc=UTF-8"
"2025-09-22 10:09:13","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_estat_nama_10_pc_filtered_en.csv",19,1,NA
"2025-09-22 10:09:13","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_estat_nama_10_pc_filtered_en.csv",18,3,NA
"2025-09-22 10:09:13","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/gini.csv",28,3,"sep=;;enc=UTF-8"
"2025-09-22 10:09:14","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_gini.csv",3,1,NA
"2025-09-22 10:09:14","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_gini.csv",3,3,NA
"2025-09-22 10:09:14","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_conocidos.csv",13552,4,"sep=;;enc=UTF-8"
"2025-09-22 10:09:14","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_hechos_conocidos.csv",4,1,NA
"2025-09-22 10:09:14","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_hechos_conocidos.csv",3,3,NA
"2025-09-22 10:09:14","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/hechos_esclarecidos.csv",13552,4,"sep=;;enc=UTF-8"
"2025-09-22 10:09:14","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_hechos_esclarecidos.csv",4,1,NA
"2025-09-22 10:09:14","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_hechos_esclarecidos.csv",3,3,NA
"2025-09-22 10:09:19","read","01_validacion_raw.R","read_raw","D:/delitos_inmigracion_espana_MIN/data/raw/poblacion_espana.csv",384480,5,"sep=;;enc=UTF-8"
"2025-09-22 10:09:19","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/cols_poblacion_espana.csv",5,1,NA
"2025-09-22 10:09:20","write","01_validacion_raw.R","write_clean","D:/delitos_inmigracion_espana_MIN/diagnostics/uniques_poblacion_espana.csv",4,3,NA
