nacionalidad,grupo_quinquenal_de_edad,sexo,periodo,total
Total,De 0 a 4 años,Total,1 de octubre de 2013,
Total,De 0 a 4 años,Total,1 de julio de 2013,2.362.049
Total,De 0 a 4 años,Total,1 de abril de 2013,
Total,De 0 a 4 años,Total,1 de enero de 2013,2.419.493
Total,De 0 a 4 años,Total,1 de octubre de 2012,
Total,De 0 a 4 años,Total,1 de julio de 2012,2.445.559
Total,De 0 a 4 años,Total,1 de abril de 2012,
Total,De 0 a 4 años,Total,1 de enero de 2012,2.476.593
Total,De 0 a 4 años,Total,1 de octubre de 2011,
Total,De 0 a 4 años,Total,1 de julio de 2011,2.482.901
Total,De 0 a 4 años,Total,1 de abril de 2011,
Total,De 0 a 4 años,Total,1 de enero de 2011,2.498.449
Total,De 0 a 4 años,Total,1 de octubre de 2010,
Total,De 0 a 4 años,Total,1 de julio de 2010,2.488.618
Total,De 0 a 4 años,Total,1 de abril de 2010,
Total,De 0 a 4 años,Total,1 de enero de 2010,2.496.689
Total,De 0 a 4 años,Hombres,1 de octubre de 2023,900.974
Total,De 0 a 4 años,Hombres,1 de julio de 2023,906.197
Total,De 0 a 4 años,Hombres,1 de abril de 2023,912.290
Total,De 0 a 4 años,Hombres,1 de enero de 2023,917.887
Total,De 0 a 4 años,Hombres,1 de octubre de 2022,924.567
Total,De 0 a 4 años,Hombres,1 de julio de 2022,930.225
Total,De 0 a 4 años,Hombres,1 de abril de 2022,934.490
Total,De 0 a 4 años,Hombres,1 de enero de 2022,941.778
Total,De 0 a 4 años,Hombres,1 de octubre de 2021,948.212
Total,De 0 a 4 años,Hombres,1 de julio de 2021,956.305
Total,De 0 a 4 años,Hombres,1 de abril de 2021,966.552
Total,De 0 a 4 años,Hombres,1 de enero de 2021,982.468
Total,De 0 a 4 años,Hombres,1 de octubre de 2020,
Total,De 0 a 4 años,Hombres,1 de julio de 2020,1.004.952
Total,De 0 a 4 años,Hombres,1 de abril de 2020,
Total,De 0 a 4 años,Hombres,1 de enero de 2020,1.027.146
Total,De 0 a 4 años,Hombres,1 de octubre de 2019,
Total,De 0 a 4 años,Hombres,1 de julio de 2019,1.038.776
Total,De 0 a 4 años,Hombres,1 de abril de 2019,
Total,De 0 a 4 años,Hombres,1 de enero de 2019,1.055.988
Total,De 0 a 4 años,Hombres,1 de octubre de 2018,
