ano,tipo,valor
2020,5.4.-Sustracción de vehículos,25387
2020,5.5.-Estafas,360844
2020,5.5.1.-Estafas informáticas,257907
2020,5.6.-Daños,180429
2020,5.7.-Contra la propiedad intelectual/industrial,930
2020,5.8.-Blanqueo de capitales,310
2020,5.9.-Otros contra el patrimonio,51220
2020,6. SEGURIDAD COLECTIVA,60162
2020,6.1.-Tráfico de drogas,17112
2020,6.2.-Contra la seguridad vial,41120
2020,6.3.-Otros contra la seguridad colectiva,1930
2020,7. FALSEDADES,24020
2020,8. ADMÓN. PÚBLICA,350
2020,9. ADMÓN. JUSTICIA,31140
2020,TOTAL INFRACCIONES PENALES,1766779
2021,1. CONTRA LAS PERSONAS,183590
2021,1.1.-Homicidios dolosos/asesinatos,1322
2021,1.1.1.-Homicidios dolosos/asesinatos consumados,293
2021,1.2.-Lesiones,96159
2021,1.3.-Malos tratos ámbito familiar,82003
2021,1.4.-Otros contra las personas,4106
2021,10. ORDEN PÚBLICO,27594
2021,11. LEGISLACIÓN ESPECIAL,343
2021,12. OTRAS INFRACCIONES PENALES,10341
2021,2. CONTRA LA LIBERTAD,139867
2021,2.1.-Malos tratos habituales en el ámbito familiar,15008
2021,2.2.-Otros contra la libertad,124859
2021,3. LIBERTAD SEXUAL,17016
2021,3.1.-Agresión sexual,10061
2021,3.2.-Agresión sexual con penetración,3795
2021,3.3.-Corrupción de menores o incapacitados,347
2021,3.4.-Pornografía de menores,739
2021,3.5.-Otros contra la libertad sexual,2074
2021,4. RELACIONES FAMILIARES,7410
2021,5. PATRIMONIO,1434698
2021,5.1.-Hurtos,493479
2021,5.2.-Robos con fuerza en las cosas,229137
2021,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,87774
2021,5.2.2.-Robos con fuerza en viviendas,75501
2021,5.2.3.-Robos con fuerza en establecimientos,27198
2021,5.3.-Robos con violencia o intimidación,53073
2021,5.3.1.-Robos con violencia en vía pública,35726
2021,5.3.2.-Robos con violencia en viviendas,3477
2021,5.3.3.-Robos con violencia en establecimientos,6663
2021,5.4.-Sustracción de vehículos,26417
2021,5.5.-Estafas,373113
2021,5.5.1.-Estafas informáticas,267011
2021,5.6.-Daños,201828
2021,5.7.-Contra la propiedad intelectual/industrial,1176
2021,5.8.-Blanqueo de capitales,343
2021,5.9.-Otros contra el patrimonio,56132
2021,6. SEGURIDAD COLECTIVA,68891
2021,6.1.-Tráfico de drogas,18313
2021,6.2.-Contra la seguridad vial,48394
2021,6.3.-Otros contra la seguridad colectiva,2184
2021,7. FALSEDADES,34058
2021,8. ADMÓN. PÚBLICA,541
2021,9. ADMÓN. JUSTICIA,33370
2021,TOTAL INFRACCIONES PENALES,1957719
2022,1. CONTRA LAS PERSONAS,212804
2022,1.1.-Homicidios dolosos/asesinatos,1539
2022,1.1.1.-Homicidios dolosos/asesinatos consumados,326
2022,1.2.-Lesiones,113704
2022,1.3.-Malos tratos ámbito familiar,92695
2022,1.4.-Otros contra las personas,4866
2022,10. ORDEN PÚBLICO,28562
2022,11. LEGISLACIÓN ESPECIAL,330
2022,12. OTRAS INFRACCIONES PENALES,10646
2022,2. CONTRA LA LIBERTAD,143861
2022,2.1.-Malos tratos habituales en el ámbito familiar,15647
2022,2.2.-Otros contra la libertad,128214
2022,3. LIBERTAD SEXUAL,19013
2022,3.1.-Agresión sexual,11426
2022,3.2.-Agresión sexual con penetración,4270
