edad,sexo,periodo,total
De 20 a 24 años,Ambos sexos,2016T3,"39,27"
De 20 a 24 años,Ambos sexos,2016T2,"43,33"
De 20 a 24 años,Ambos sexos,2016T1,"43,26"
De 20 a 24 años,Ambos sexos,2015T4,"42,52"
De 20 a 24 años,Ambos sexos,2015T3,"42,89"
De 20 a 24 años,Ambos sexos,2015T2,"45,26"
De 20 a 24 años,Ambos sexos,2015T1,"47,74"
De 20 a 24 años,Ambos sexos,2014T4,"48,88"
De 20 a 24 años,Ambos sexos,2014T3,"49,54"
De 20 a 24 años,Ambos sexos,2014T2,"49,99"
De 20 a 24 años,Ambos sexos,2014T1,"52,86"
De 20 a 24 años,Ambos sexos,2013T4,"50,93"
De 20 a 24 años,Ambos sexos,2013T3,"50,14"
De 20 a 24 años,Ambos sexos,2013T2,"52,62"
De 20 a 24 años,Ambos sexos,2013T1,"53,39"
De 20 a 24 años,Ambos sexos,2012T4,"51,41"
De 20 a 24 años,Ambos sexos,2012T3,"47,68"
De 20 a 24 años,Ambos sexos,2012T2,"48,70"
De 20 a 24 años,Ambos sexos,2012T1,"47,71"
De 20 a 24 años,Ambos sexos,2011T4,"44,05"
De 20 a 24 años,Ambos sexos,2011T3,"42,00"
De 20 a 24 años,Ambos sexos,2011T2,"42,17"
De 20 a 24 años,Ambos sexos,2011T1,"41,14"
De 20 a 24 años,Ambos sexos,2010T4,"38,33"
De 20 a 24 años,Ambos sexos,2010T3,"35,95"
De 20 a 24 años,Ambos sexos,2010T2,"36,96"
De 20 a 24 años,Ambos sexos,2010T1,"36,31"
De 20 a 24 años,Hombres,2023T4,"26,97"
De 20 a 24 años,Hombres,2023T3,"25,90"
De 20 a 24 años,Hombres,2023T2,"24,02"
De 20 a 24 años,Hombres,2023T1,"25,57"
De 20 a 24 años,Hombres,2022T4,"25,07"
De 20 a 24 años,Hombres,2022T3,"24,50"
De 20 a 24 años,Hombres,2022T2,"23,03"
De 20 a 24 años,Hombres,2022T1,"27,15"
De 20 a 24 años,Hombres,2021T4,"26,58"
De 20 a 24 años,Hombres,2021T3,"27,93"
De 20 a 24 años,Hombres,2021T2,"33,67"
De 20 a 24 años,Hombres,2021T1,"34,76"
De 20 a 24 años,Hombres,2020T4,"35,98"
De 20 a 24 años,Hombres,2020T3,"35,67"
De 20 a 24 años,Hombres,2020T2,"35,83"
De 20 a 24 años,Hombres,2020T1,"29,62"
De 20 a 24 años,Hombres,2019T4,"26,36"
De 20 a 24 años,Hombres,2019T3,"27,32"
De 20 a 24 años,Hombres,2019T2,"28,49"
De 20 a 24 años,Hombres,2019T1,"30,78"
De 20 a 24 años,Hombres,2018T4,"30,78"
De 20 a 24 años,Hombres,2018T3,"31,24"
De 20 a 24 años,Hombres,2018T2,"31,93"
De 20 a 24 años,Hombres,2018T1,"34,05"
De 20 a 24 años,Hombres,2017T4,"34,14"
De 20 a 24 años,Hombres,2017T3,"33,84"
De 20 a 24 años,Hombres,2017T2,"37,45"
De 20 a 24 años,Hombres,2017T1,"39,46"
De 20 a 24 años,Hombres,2016T4,"40,29"
De 20 a 24 años,Hombres,2016T3,"39,35"
De 20 a 24 años,Hombres,2016T2,"42,59"
De 20 a 24 años,Hombres,2016T1,"41,53"
De 20 a 24 años,Hombres,2015T4,"41,93"
De 20 a 24 años,Hombres,2015T3,"43,11"
De 20 a 24 años,Hombres,2015T2,"46,49"
