sexo,edad,tasa_de_riesgo_de_pobreza_o_exclusion_social_y_sus_componentes,periodo,total
Ambos sexos,De 16 a 29 años,Con carencia material severa,2020,"9,3"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2019,"5,8"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2018,"7,0"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2017,"6,7"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2016,"8,4"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2015,"8,4"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2014,"8,7"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2013,"7,4"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2012,"7,7"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2011,"5,9"
Ambos sexos,De 16 a 29 años,Con carencia material severa,2010,"6,3"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2023,"9,5"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2022,"9,2"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2021,"13,7"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2020,"10,5"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2019,"11,1"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2018,"11,6"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2017,"14,7"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2016,"17,6"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2015,"18,4"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2014,"18,3"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2013,"16,9"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2012,"15,5"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2011,"14,2"
Ambos sexos,De 16 a 29 años,Viviendo en hogares con baja intensidad en el trabajo (de 0 a 59 años),2010,"10,3"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2023,"25,9"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2022,"25,7"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2021,"27,3"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2020,"25,6"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2019,"24,7"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2018,"24,4"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2017,"25,0"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2016,"27,1"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2015,"28,5"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2014,"30,4"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2013,"28,0"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2012,"28,0"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2011,"26,0"
Ambos sexos,De 30 a 44 años,Tasa de riesgo de pobreza o exclusión social (indicador AROPE),2010,"24,9"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2023,"18,7"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2022,"19,2"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2021,"21,1"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2020,"19,4"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2019,"18,8"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2018,"19,3"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2017,"19,7"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2016,"21,3"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2015,"21,8"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2014,"22,9"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2013,"20,7"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2012,"21,2"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2011,"19,7"
Ambos sexos,De 30 a 44 años,En riesgo de pobreza (renta año anterior a la entrevista),2010,"18,8"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2023,"9,7"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2022,"9,5"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2021,"7,5"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2020,"7,5"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2019,"5,1"
Ambos sexos,De 30 a 44 años,Con carencia material severa,2018,"5,0"
