ano,tipo,valor
2019,5.4.-sustraccion de vehiculos,3399
2019,5.5.-estafas,13478
2019,5.5.1.-estafas informaticas,3792
2019,5.6.-danos,8298
2019,5.7.-contra la propiedad intelectual/industrial,1795
2019,5.8.-blanqueo de capitales,602
2019,5.9.-otros contra el patrimonio,10777
2019,6. seguridad colectiva,61239
2019,6.1.-trafico de drogas,22888
2019,6.2.-contra la seguridad vial,36861
2019,6.3.-otros contra la seguridad colectiva,1490
2019,7. falsedades,11288
2019,8. admon. publica,446
2019,9. admon. justicia,21416
2019,total infracciones penales,411903
2020,1. contra las personas,96238
2020,1.1.-homicidios dolosos/asesinatos,1225
2020,1.1.1.-homicidios dolosos/asesinatos consumados,377
2020,1.2.-lesiones,32334
2020,1.3.-malos tratos ambito familiar,60547
2020,1.4.-otros contra las personas,2132
2020,10. orden publico,27668
2020,11. legislacion especial,585
2020,12. otras infracciones penales,5061
2020,2. contra la libertad,45672
2020,2.1.-malos tratos habituales en el ambito familiar,9514
2020,2.2.-otros contra la libertad,36158
2020,3. libertad sexual,7991
2020,3.1.-agresion sexual,4553
2020,3.2.-agresion sexual con penetracion,1860
2020,3.3.-corrupcion de menores o incapacitados,163
2020,3.4.-pornografia de menores,453
2020,3.5.-otros contra la libertad sexual,962
2020,4. relaciones familiares,2339
2020,5. patrimonio,139280
2020,5.1.-hurtos,49103
2020,5.2.-robos con fuerza en las cosas,25748
2020,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,3971
2020,5.2.2.-robos con fuerza en viviendas,8563
2020,5.2.3.-robos con fuerza en establecimientos,6515
2020,5.3.-robos con violencia o intimidacion,14160
2020,5.3.1.-robos con violencia en via publica,8029
2020,5.3.2.-robos con violencia en viviendas,1295
2020,5.3.3.-robos con violencia en establecimientos,3160
2020,5.4.-sustraccion de vehiculos,3309
2020,5.5.-estafas,14572
2020,5.5.1.-estafas informaticas,5343
2020,5.6.-danos,10554
2020,5.7.-contra la propiedad intelectual/industrial,843
2020,5.8.-blanqueo de capitales,502
2020,5.9.-otros contra el patrimonio,20489
2020,6. seguridad colectiva,57625
2020,6.1.-trafico de drogas,22771
2020,6.2.-contra la seguridad vial,33526
2020,6.3.-otros contra la seguridad colectiva,1328
2020,7. falsedades,9519
2020,8. admon. publica,360
2020,9. admon. justicia,22722
2020,total infracciones penales,415060
2021,1. contra las personas,108154
2021,1.1.-homicidios dolosos/asesinatos,1312
2021,1.1.1.-homicidios dolosos/asesinatos consumados,360
2021,1.2.-lesiones,38573
2021,1.3.-malos tratos ambito familiar,65618
2021,1.4.-otros contra las personas,2651
2021,10. orden publico,23962
2021,11. legislacion especial,574
2021,12. otras infracciones penales,5949
2021,2. contra la libertad,49856
2021,2.1.-malos tratos habituales en el ambito familiar,10222
2021,2.2.-otros contra la libertad,39634
2021,3. libertad sexual,10477
2021,3.1.-agresion sexual,6252
2021,3.2.-agresion sexual con penetracion,2419
2021,3.3.-corrupcion de menores o incapacitados,211
2021,3.4.-pornografia de menores,467
2021,3.5.-otros contra la libertad sexual,1128
2021,4. relaciones familiares,2472
2021,5. patrimonio,151436
2021,5.1.-hurtos,57256
2021,5.2.-robos con fuerza en las cosas,25263
2021,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,4928
2021,5.2.2.-robos con fuerza en viviendas,8012
2021,5.2.3.-robos con fuerza en establecimientos,6116
2021,5.3.-robos con violencia o intimidacion,15567
2021,5.3.1.-robos con violencia en via publica,9095
2021,5.3.2.-robos con violencia en viviendas,1332
2021,5.3.3.-robos con violencia en establecimientos,3292
2021,5.4.-sustraccion de vehiculos,3159
2021,5.5.-estafas,16301
2021,5.5.1.-estafas informaticas,6521
2021,5.6.-danos,12077
2021,5.7.-contra la propiedad intelectual/industrial,1056
2021,5.8.-blanqueo de capitales,651
2021,5.9.-otros contra el patrimonio,20106
2021,6. seguridad colectiva,64341
2021,6.1.-trafico de drogas,23920
2021,6.2.-contra la seguridad vial,38996
2021,6.3.-otros contra la seguridad colectiva,1425
2021,7. falsedades,11739
2021,8. admon. publica,370
2021,9. admon. justicia,23892
2021,total infracciones penales,453222
2022,1. contra las personas,122885
2022,1.1.-homicidios dolosos/asesinatos,1500
2022,1.1.1.-homicidios dolosos/asesinatos consumados,375
2022,1.2.-lesiones,44431
2022,1.3.-malos tratos ambito familiar,73876
2022,1.4.-otros contra las personas,3078
2022,10. orden publico,23444
2022,11. legislacion especial,524
2022,12. otras infracciones penales,5875
2022,2. contra la libertad,52677
2022,2.1.-malos tratos habituales en el ambito familiar,10964
2022,2.2.-otros contra la libertad,41713
2022,3. libertad sexual,11699
2022,3.1.-agresion sexual,7133
2022,3.2.-agresion sexual con penetracion,2755
2022,3.3.-corrupcion de menores o incapacitados,221
2022,3.4.-pornografia de menores,467
2022,3.5.-otros contra la libertad sexual,1123
2022,4. relaciones familiares,2509
2022,5. patrimonio,179947
2022,5.1.-hurtos,74111
2022,5.2.-robos con fuerza en las cosas,28274
2022,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,5948
2022,5.2.2.-robos con fuerza en viviendas,8249
2022,5.2.3.-robos con fuerza en establecimientos,6828
2022,5.3.-robos con violencia o intimidacion,18478
2022,5.3.1.-robos con violencia en via publica,11104
2022,5.3.2.-robos con violencia en viviendas,1204
2022,5.3.3.-robos con violencia en establecimientos,4073
2022,5.4.-sustraccion de vehiculos,3612
2022,5.5.-estafas,19232
2022,5.5.1.-estafas informaticas,8119
2022,5.6.-danos,12671
2022,5.7.-contra la propiedad intelectual/industrial,1245
2022,5.8.-blanqueo de capitales,690
2022,5.9.-otros contra el patrimonio,21634
2022,6. seguridad colectiva,70323
2022,6.1.-trafico de drogas,24029
2022,6.2.-contra la seguridad vial,44548
2022,6.3.-otros contra la seguridad colectiva,1746
2022,7. falsedades,11132
2022,8. admon. publica,305
2022,9. admon. justicia,27099
2022,total infracciones penales,508419
2023,1. contra las personas,132332
2023,1.1.-homicidios dolosos/asesinatos,1631
2023,1.1.1.-homicidios dolosos/asesinatos consumados,399
2023,1.2.-lesiones,45598
2023,1.3.-malos tratos ambito familiar,81461
2023,1.4.-otros contra las personas,3642
2023,10. orden publico,24453
2023,11. legislacion especial,433
2023,12. otras infracciones penales,6574
2023,2. contra la libertad,58423
2023,2.1.-malos tratos habituales en el ambito familiar,12085
2023,2.2.-otros contra la libertad,46338
2023,3. libertad sexual,13767
2023,3.1.-agresion sexual,8232
2023,3.2.-agresion sexual con penetracion,3160
2023,3.3.-corrupcion de menores o incapacitados,191
2023,3.4.-pornografia de menores,649
2023,3.5.-otros contra la libertad sexual,1535
2023,4. relaciones familiares,2655
2023,5. patrimonio,204374
2023,5.1.-hurtos,89492
2023,5.2.-robos con fuerza en las cosas,30866
2023,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,6974
2023,5.2.2.-robos con fuerza en viviendas,8722
2023,5.2.3.-robos con fuerza en establecimientos,7697
2023,5.3.-robos con violencia o intimidacion,20790
2023,5.3.1.-robos con violencia en via publica,12246
2023,5.3.2.-robos con violencia en viviendas,1413
2023,5.3.3.-robos con violencia en establecimientos,4884
2023,5.4.-sustraccion de vehiculos,3948
2023,5.5.-estafas,22135
2023,5.5.1.-estafas informaticas,10462
2023,5.6.-danos,12606
2023,5.7.-contra la propiedad intelectual/industrial,1327
2023,5.8.-blanqueo de capitales,642
2023,5.9.-otros contra el patrimonio,22568
2023,6. seguridad colectiva,71713
2023,6.1.-trafico de drogas,26205
2023,6.2.-contra la seguridad vial,43614
2023,6.3.-otros contra la seguridad colectiva,1894
2023,7. falsedades,11124
2023,8. admon. publica,297
2023,9. admon. justicia,30648
2023,total infracciones penales,556793
