ano,tipo,total
2021,5.3.3.-robos con violencia en establecimientos,3644
2021,5.4.-sustraccion de vehiculos,7839
2021,5.5.-estafas,53454
2021,5.5.1.-estafas informaticas,31850
2021,5.6.-danos,29941
2021,5.7.-contra la propiedad intelectual/industrial,1018
2021,5.8.-blanqueo de capitales,311
2021,5.9.-otros contra el patrimonio,30104
2021,6. seguridad colectiva,61506
2021,6.1.-trafico de drogas,15608
2021,6.2.-contra la seguridad vial,44553
2021,6.3.-otros contra la seguridad colectiva,1345
2021,7. falsedades,14403
2021,8. admon. publica,407
2021,9. admon. justicia,31824
2021,total infracciones penales,684642
2022,1. contra las personas,181742
2022,1.1.-homicidios dolosos/asesinatos,1383
2022,1.1.1.-homicidios dolosos/asesinatos consumados,318
2022,1.2.-lesiones,86563
2022,1.3.-malos tratos ambito familiar,90131
2022,1.4.-otros contra las personas,3665
2022,10. orden publico,26510
2022,11. legislacion especial,286
2022,12. otras infracciones penales,7271
2022,2. contra la libertad,107627
2022,2.1.-malos tratos habituales en el ambito familiar,13269
2022,2.2.-otros contra la libertad,94358
2022,3. libertad sexual,14512
2022,3.1.-agresion sexual,8950
2022,3.2.-agresion sexual con penetracion,3399
2022,3.3.-corrupcion de menores o incapacitados,269
2022,3.4.-pornografia de menores,463
2022,3.5.-otros contra la libertad sexual,1431
2022,4. relaciones familiares,7009
2022,5. patrimonio,305218
2022,5.1.-hurtos,113212
2022,5.2.-robos con fuerza en las cosas,35662
2022,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,9056
2022,5.2.2.-robos con fuerza en viviendas,10927
2022,5.2.3.-robos con fuerza en establecimientos,8086
2022,5.3.-robos con violencia o intimidacion,19037
2022,5.3.1.-robos con violencia en via publica,10910
2022,5.3.2.-robos con violencia en viviendas,1492
2022,5.3.3.-robos con violencia en establecimientos,4508
2022,5.4.-sustraccion de vehiculos,9277
2022,5.5.-estafas,62447
2022,5.5.1.-estafas informaticas,37107
2022,5.6.-danos,31555
2022,5.7.-contra la propiedad intelectual/industrial,1067
2022,5.8.-blanqueo de capitales,361
2022,5.9.-otros contra el patrimonio,32600
2022,6. seguridad colectiva,68536
2022,6.1.-trafico de drogas,16607
2022,6.2.-contra la seguridad vial,50251
2022,6.3.-otros contra la seguridad colectiva,1678
2022,7. falsedades,15176
2022,8. admon. publica,362
2022,9. admon. justicia,35951
