ano,tipo,sexo,valor
2014,3.1.-agresion sexual,mujeres,7
2014,3.1.-agresion sexual,total,818
2014,3.2.-agresion sexual con penetracion,hombres,364
2014,3.2.-agresion sexual con penetracion,mujeres,5
2014,3.2.-agresion sexual con penetracion,total,369
2014,3.3.-corrupcion de menores o incapacitados,hombres,32
2014,3.3.-corrupcion de menores o incapacitados,mujeres,10
2014,3.3.-corrupcion de menores o incapacitados,total,42
2014,3.4.-pornografia de menores,hombres,45
2014,3.4.-pornografia de menores,mujeres,4
2014,3.4.-pornografia de menores,total,49
2014,3.5.-otros contra la libertad sexual,hombres,233
2014,3.5.-otros contra la libertad sexual,mujeres,173
2014,3.5.-otros contra la libertad sexual,total,406
2014,4. relaciones familiares,hombres,336
2014,4. relaciones familiares,mujeres,210
2014,4. relaciones familiares,total,546
2014,5. patrimonio,hombres,35820
2014,5. patrimonio,mujeres,9763
2014,5. patrimonio,total,45583
2014,5.1.-hurtos,hombres,13661
2014,5.1.-hurtos,mujeres,6556
2014,5.1.-hurtos,total,20217
2014,5.2.-robos con fuerza en las cosas,hombres,9360
