ano,tipo,valor
2023,5.3.2.-robos con violencia en viviendas,524
2023,5.3.3.-robos con violencia en establecimientos,1810
2023,5.4.-sustraccion de vehiculos,1104
2023,5.5.-estafas,6001
2023,5.5.1.-estafas informaticas,2466
2023,5.6.-danos,3529
2023,5.7.-contra la propiedad intelectual/industrial,826
2023,5.8.-blanqueo de capitales,146
2023,5.9.-otros contra el patrimonio,10491
2023,6. seguridad colectiva,21353
2023,6.1.-trafico de drogas,9552
2023,6.2.-contra la seguridad vial,11322
2023,6.3.-otros contra la seguridad colectiva,479
2023,7. falsedades,6876
2023,8. admon. publica,37
2023,9. admon. justicia,8425
2023,total infracciones penales,197096
