ano,tipo,total
2021,12. otras infracciones penales,10341
2021,2. contra la libertad,139867
2021,2.1.-malos tratos habituales en el ambito familiar,15008
2021,2.2.-otros contra la libertad,124859
2021,3. libertad sexual,17016
2021,3.1.-agresion sexual,10061
2021,3.2.-agresion sexual con penetracion,3795
2021,3.3.-corrupcion de menores o incapacitados,347
2021,3.4.-pornografia de menores,739
2021,3.5.-otros contra la libertad sexual,2074
2021,4. relaciones familiares,7410
2021,5. patrimonio,1434698
2021,5.1.-hurtos,493479
2021,5.2.-robos con fuerza en las cosas,229137
2021,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,87774
2021,5.2.2.-robos con fuerza en viviendas,75501
2021,5.2.3.-robos con fuerza en establecimientos,27198
2021,5.3.-robos con violencia o intimidacion,53073
2021,5.3.1.-robos con violencia en via publica,35726
2021,5.3.2.-robos con violencia en viviendas,3477
2021,5.3.3.-robos con violencia en establecimientos,6663
2021,5.4.-sustraccion de vehiculos,26417
2021,5.5.-estafas,367764
2021,5.5.1.-estafas informaticas,263000
2021,5.6.-danos,201828
2021,5.7.-contra la propiedad intelectual/industrial,1176
2021,5.8.-blanqueo de capitales,343
2021,5.9.-otros contra el patrimonio,56132
2021,6. seguridad colectiva,68891
2021,6.1.-trafico de drogas,18313
2021,6.2.-contra la seguridad vial,48394
2021,6.3.-otros contra la seguridad colectiva,2184
2021,7. falsedades,34058
2021,8. admon. publica,541
2021,9. admon. justicia,33370
2022,1. contra las personas,212804
2022,1.1.-homicidios dolosos/asesinatos,1539
2022,1.1.1.-homicidios dolosos/asesinatos consumados,326
2022,1.2.-lesiones,113704
2022,1.3.-malos tratos ambito familiar,92695
2022,1.4.-otros contra las personas,4866
2022,10. orden publico,28562
2022,11. legislacion especial,330
2022,12. otras infracciones penales,10646
2022,2. contra la libertad,143861
2022,2.1.-malos tratos habituales en el ambito familiar,15647
2022,2.2.-otros contra la libertad,128214
2022,3. libertad sexual,19013
2022,3.1.-agresion sexual,11426
2022,3.2.-agresion sexual con penetracion,4270
2022,3.3.-corrupcion de menores o incapacitados,384
2022,3.4.-pornografia de menores,707
2022,3.5.-otros contra la libertad sexual,2226
2022,4. relaciones familiares,7567
2022,5. patrimonio,1737547
2022,5.1.-hurtos,642276
2022,5.2.-robos con fuerza en las cosas,265901
2022,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,101084
2022,5.2.2.-robos con fuerza en viviendas,86515
2022,5.2.3.-robos con fuerza en establecimientos,31552
2022,5.3.-robos con violencia o intimidacion,63392
2022,5.3.1.-robos con violencia en via publica,43100
2022,5.3.2.-robos con violencia en viviendas,3669
2022,5.3.3.-robos con violencia en establecimientos,8210
2022,5.4.-sustraccion de vehiculos,30767
2022,5.5.-estafas,459537
2022,5.5.1.-estafas informaticas,330544
2022,5.6.-danos,213694
2022,5.7.-contra la propiedad intelectual/industrial,1217
2022,5.8.-blanqueo de capitales,411
2022,5.9.-otros contra el patrimonio,63240
2022,6. seguridad colectiva,76692
2022,6.1.-trafico de drogas,19057
2022,6.2.-contra la seguridad vial,54976
2022,6.3.-otros contra la seguridad colectiva,2659
2022,7. falsedades,37717
2022,8. admon. publica,509
2022,9. admon. justicia,37910
2023,1. contra las personas,226761
2023,1.1.-homicidios dolosos/asesinatos,1692
2023,1.1.1.-homicidios dolosos/asesinatos consumados,333
2023,1.2.-lesiones,118125
2023,1.3.-malos tratos ambito familiar,101179
2023,1.4.-otros contra las personas,5765
2023,10. orden publico,30011
2023,11. legislacion especial,464
2023,12. otras infracciones penales,11718
2023,2. contra la libertad,159113
2023,2.1.-malos tratos habituales en el ambito familiar,17120
2023,2.2.-otros contra la libertad,141993
2023,3. libertad sexual,21825
2023,3.1.-agresion sexual,12727
2023,3.2.-agresion sexual con penetracion,4890
2023,3.3.-corrupcion de menores o incapacitados,389
2023,3.4.-pornografia de menores,909
2023,3.5.-otros contra la libertad sexual,2910
2023,4. relaciones familiares,7611
2023,5. patrimonio,1846821
2023,5.1.-hurtos,665622
2023,5.2.-robos con fuerza en las cosas,272638
2023,5.2.1.-robos con fuerza en las cosas en el interior de vehiculos,104988
2023,5.2.2.-robos con fuerza en viviendas,84721
2023,5.2.3.-robos con fuerza en establecimientos,35072
2023,5.3.-robos con violencia o intimidacion,64711
2023,5.3.1.-robos con violencia en via publica,44406
2023,5.3.2.-robos con violencia en viviendas,3844
2023,5.3.3.-robos con violencia en establecimientos,8238
2023,5.4.-sustraccion de vehiculos,32839
2023,5.5.-estafas,527836
2023,5.5.1.-estafas informaticas,423055
2023,5.6.-danos,209299
2023,5.7.-contra la propiedad intelectual/industrial,1451
2023,5.8.-blanqueo de capitales,516
2023,5.9.-otros contra el patrimonio,66366
2023,6. seguridad colectiva,77130
2023,6.1.-trafico de drogas,21033
2023,6.2.-contra la seguridad vial,53517
2023,6.3.-otros contra la seguridad colectiva,2580
2023,7. falsedades,40889
2023,8. admon. publica,506
2023,9. admon. justicia,41910
