Package,LibPath,Version,Priority,Built
tidyr,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.3.1,NA,4.5.1
tidyselect,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.1,NA,4.5.1
tidyverse,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.0.0,NA,4.5.1
timechange,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.3.0,NA,4.5.1
tinytable,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.13.0,NA,4.5.1
tinytex,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.57,NA,4.5.1
tools,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
translations,C:/Program Files/R/R-4.5.1/library,4.5.1,NA,4.5.1
tseries,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.10-58,NA,4.5.1
TTR,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.24.4,NA,4.5.1
tzdb,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.5.0,NA,4.5.1
urca,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.3-4,NA,4.5.1
utf8,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2.6,NA,4.5.1
utils,C:/Program Files/R/R-4.5.1/library,4.5.1,base,4.5.1
uuid,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.2-1,NA,4.5.0
V8,C:/Users/jesus/AppData/Local/R/win-library/4.5,6.0.6,NA,4.5.1
vars,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.6-1,NA,4.5.1
vctrs,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.6.5,NA,4.5.1
viridis,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.6.5,NA,4.5.1
viridisLite,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.4.2,NA,4.5.1
vroom,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.6.5,NA,4.5.1
withr,C:/Users/jesus/AppData/Local/R/win-library/4.5,3.0.2,NA,4.5.1
xfun,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.53,NA,4.5.1
xml2,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.4.0,NA,4.5.1
xtable,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.8-4,NA,4.5.1
xts,C:/Users/jesus/AppData/Local/R/win-library/4.5,0.14.1,NA,4.5.1
yaml,C:/Users/jesus/AppData/Local/R/win-library/4.5,2.3.10,NA,4.5.0
zoo,C:/Users/jesus/AppData/Local/R/win-library/4.5,1.8-14,NA,4.5.1
